,ModelName,ModelGroup,Lifetime,Phase,_LoadingMode,StrainAmplitude,StrainMean,StressAmplitude,StressMean,FIPmax,FIPmaxLocal,FIPcrit,m_FIP,IsExperimentalData
51,DisTest_Seed783331_Strain0p9_NumberOfCells214,ALL,1404.756451900126,wholeMod,0.0,0.009,0.0,986.075,-1.211999999999989,0.03767086144674707,0.14094293117523193,2.5212397882003104,1.7241379310344,0
51.1,DisTest_Seed783331_Strain0p9_NumberOfCells214,ALL,2963.6967034926065,Martensite,0.0,0.009,0.0,986.075,-1.211999999999989,0.018121730139914978,0.14094293117523193,1.8700931486857668,1.72413793,0
51.2,DisTest_Seed783331_Strain0p9_NumberOfCells214,ALL,1404.756451900126,Ferrite,0.0,0.009,0.0,986.075,-1.211999999999989,0.03767086144674707,0.12720881402492523,2.5212397882003104,1.7241379310344,0
52,DisTest_Seed71034_Strain0p9_NumberOfCells46,ALL,907.1341730095522,wholeMod,0.0,0.009,0.0,952.726,-1.1720000000000255,0.044858799825580616,0.15365639328956604,1.8700931486857668,1.72413793,0
52.1,DisTest_Seed71034_Strain0p9_NumberOfCells46,ALL,907.1341730095522,Martensite,0.0,0.009,0.0,952.726,-1.1720000000000255,0.036009223138292634,0.15231390297412872,1.8700931486857668,1.72413793,0
52.2,DisTest_Seed71034_Strain0p9_NumberOfCells46,ALL,1039.5342355592845,Ferrite,0.0,0.009,0.0,952.726,-1.1720000000000255,0.044858799825580616,0.15365639328956604,2.5212397882003104,1.7241379310344,0
53,DisTest_Seed61442_Strain0p3_NumberOfCells85,ALL,40872.02396990639,wholeMod,0.0,0.003,0.0,536.6814999999999,-0.025500000000079126,0.00395581591874361,0.01318574883043766,1.8700931486857668,1.72413793,0
53.1,DisTest_Seed61442_Strain0p3_NumberOfCells85,ALL,40872.02396990639,Martensite,0.0,0.003,0.0,536.6814999999999,-0.025500000000079126,0.00395581591874361,0.010318995453417301,1.8700931486857668,1.72413793,0
53.2,DisTest_Seed61442_Strain0p3_NumberOfCells85,ALL,326779.79983876995,Ferrite,0.0,0.003,0.0,536.6814999999999,-0.025500000000079126,0.0015971515776014866,0.01318574883043766,2.5212397882003104,1.7241379310344,0
54,DisTest_Seed71034_Strain0p3_NumberOfCells6,ALL,23201.13082808284,wholeMod,0.0,0.003,0.0,519.1945000000001,-0.10749999999995907,0.007406599192029756,0.027161695063114166,2.5212397882003104,1.7241379310344,0
54.1,DisTest_Seed71034_Strain0p3_NumberOfCells6,ALL,50506.542015158586,Martensite,0.0,0.003,0.0,519.1945000000001,-0.10749999999995907,0.0034988200705912374,0.01363630685955286,1.8700931486857668,1.72413793,0
54.2,DisTest_Seed71034_Strain0p3_NumberOfCells6,ALL,23201.13082808284,Ferrite,0.0,0.003,0.0,519.1945000000001,-0.10749999999995907,0.007406599192029756,0.027161695063114166,2.5212397882003104,1.7241379310344,0
55,DisTest_Seed71034_Strain0p3_NumberOfCells85,ALL,62910.53716309345,wholeMod,0.0,0.003,0.0,538.2855,-0.027500000000031832,0.0038896390968667606,0.015422937460243702,1.8700931486857668,1.72413793,0
55.1,DisTest_Seed71034_Strain0p3_NumberOfCells85,ALL,70431.50599254845,Ferrite,0.0,0.003,0.0,538.2855,-0.027500000000031832,0.0038896390968667606,0.015422937460243702,2.5212397882003104,1.7241379310344,0
